"date","month","type","total_in_tons"
"2022-12-31T00:00:00.000","December","Curb Recycling","1054"
"2022-12-31T00:00:00.000","December","Misc. Garbage","512.85"
"2022-12-31T00:00:00.000","December","Curb Garbage","5425.67"
"2022-12-31T00:00:00.000","December","E-Waste","12.6"
"2022-12-31T00:00:00.000","December","Haz Waste","0"
"2022-12-31T00:00:00.000","December","Yard Waste","4000"
"2022-12-31T00:00:00.000","December","Recycled Tires","9.95"
"2022-12-31T00:00:00.000","December","Scrap Metal","331.64"
"2022-12-31T00:00:00.000","December","Bottle Bill","316.67"
"2022-12-31T00:00:00.000","December","Misc. Recycling","5100"
"2022-11-30T00:00:00.000","November","Misc. Recycling","10"
"2022-11-30T00:00:00.000","November","Misc. Garbage","926"
"2022-11-30T00:00:00.000","November","Curb Garbage","7368"
"2022-11-30T00:00:00.000","November","E-Waste","3"
"2022-11-30T00:00:00.000","November","Haz Waste","0"
"2022-11-30T00:00:00.000","November","Yard Waste","145"
"2022-11-30T00:00:00.000","November","Recycled Tires","20"
"2022-11-30T00:00:00.000","November","Scrap Metal","332"
"2022-11-30T00:00:00.000","November","Bottle Bill","317"
"2022-11-30T00:00:00.000","November","Curb Recycling","1304"
"2022-10-31T00:00:00.000","October","Misc. Recycling","10"
"2022-10-31T00:00:00.000","October","Misc. Garbage","1129"
"2022-10-31T00:00:00.000","October","Curb Garbage","7363"
"2022-10-31T00:00:00.000","October","E-Waste","11"
"2022-10-31T00:00:00.000","October","Haz Waste","0"
"2022-10-31T00:00:00.000","October","Yard Waste","140"
"2022-10-31T00:00:00.000","October","Recycled Tires","16"
"2022-10-31T00:00:00.000","October","Scrap Metal","332"
"2022-10-31T00:00:00.000","October","Bottle Bill","317"
"2022-10-31T00:00:00.000","October","Curb Recycling","1335"
"2022-09-30T00:00:00.000","September","Curb Recycling","1422"
"2022-09-30T00:00:00.000","September","Misc. Garbage","1421"
"2022-09-30T00:00:00.000","September","Curb Garbage","7977"
"2022-09-30T00:00:00.000","September","E-Waste","14"
"2022-09-30T00:00:00.000","September","Haz Waste","0"
"2022-09-30T00:00:00.000","September","Yard Waste","160"
"2022-09-30T00:00:00.000","September","Recycled Tires","30"
"2022-09-30T00:00:00.000","September","Scrap Metal","332"
"2022-09-30T00:00:00.000","September","Bottle Bill","317"
"2022-09-30T00:00:00.000","September","Misc. Recycling","10"
"2022-08-31T00:00:00.000","August","Curb Recycling","1455"
"2022-08-31T00:00:00.000","August","Misc. Garbage","2448"
"2022-08-31T00:00:00.000","August","Curb Garbage","8675"
"2022-08-31T00:00:00.000","August","E-Waste","18"
"2022-08-31T00:00:00.000","August","Haz Waste","0"
"2022-08-31T00:00:00.000","August","Yard Waste","171"
"2022-08-31T00:00:00.000","August","Recycled Tires","22"
"2022-08-31T00:00:00.000","August","Scrap Metal","332"
"2022-08-31T00:00:00.000","August","Bottle Bill","317"
"2022-08-31T00:00:00.000","August","Misc. Recycling","10"
"2022-07-31T00:00:00.000","July","Misc. Recycling","10"
"2022-07-31T00:00:00.000","July","Misc. Garbage","1715"
"2022-07-31T00:00:00.000","July","Curb Garbage","8138"
"2022-07-31T00:00:00.000","July","E-Waste","12"
"2022-07-31T00:00:00.000","July","Haz Waste","0"
"2022-07-31T00:00:00.000","July","Yard Waste","119"
"2022-07-31T00:00:00.000","July","Recycled Tires","19"
"2022-07-31T00:00:00.000","July","Scrap Metal","332"
"2022-07-31T00:00:00.000","July","Bottle Bill","317"
"2022-07-31T00:00:00.000","July","Curb Recycling","1483"
"2022-06-30T00:00:00.000","June","Misc. Recycling","10"
"2022-06-30T00:00:00.000","June","Misc. Garbage","2499"
"2022-06-30T00:00:00.000","June","Curb Garbage","6384"
"2022-06-30T00:00:00.000","June","E-Waste","19"
"2022-06-30T00:00:00.000","June","Haz Waste","0"
"2022-06-30T00:00:00.000","June","Yard Waste","176"
"2022-06-30T00:00:00.000","June","Recycled Tires","14"
"2022-06-30T00:00:00.000","June","Scrap Metal","332"
"2022-06-30T00:00:00.000","June","Bottle Bill","317"
"2022-06-30T00:00:00.000","June","Curb Recycling","1512"
"2022-05-31T00:00:00.000","May","Misc. Recycling","10"
"2022-05-31T00:00:00.000","May","Misc. Garbage","3180"
"2022-05-31T00:00:00.000","May","Curb Garbage","9239"
"2022-05-31T00:00:00.000","May","E-Waste","24"
"2022-05-31T00:00:00.000","May","Haz Waste","0"
"2022-05-31T00:00:00.000","May","Yard Waste","163"
"2022-05-31T00:00:00.000","May","Recycled Tires","22"
"2022-05-31T00:00:00.000","May","Scrap Metal","332"
"2022-05-31T00:00:00.000","May","Bottle Bill","317"
"2022-05-31T00:00:00.000","May","Curb Recycling","1448"
"2022-04-30T00:00:00.000","April","Curb Recycling","1359"
"2022-04-30T00:00:00.000","April","Misc. Garbage","1545"
"2022-04-30T00:00:00.000","April","Curb Garbage","7726"
"2022-04-30T00:00:00.000","April","E-Waste","12"
"2022-04-30T00:00:00.000","April","Haz Waste","0"
"2022-04-30T00:00:00.000","April","Yard Waste","145"
"2022-04-30T00:00:00.000","April","Recycled Tires","34"
"2022-04-30T00:00:00.000","April","Scrap Metal","332"
"2022-04-30T00:00:00.000","April","Bottle Bill","317"
"2022-04-30T00:00:00.000","April","Misc. Recycling","10"
"2022-03-31T00:00:00.000","March","Curb Recycling","1439"
"2022-03-31T00:00:00.000","March","Misc. Garbage","1012"
"2022-03-31T00:00:00.000","March","Curb Garbage","7621"
"2022-03-31T00:00:00.000","March","E-Waste","13"
"2022-03-31T00:00:00.000","March","Haz Waste","0"
"2022-03-31T00:00:00.000","March","Yard Waste","193"
"2022-03-31T00:00:00.000","March","Recycled Tires","29"
"2022-03-31T00:00:00.000","March","Scrap Metal","332"
"2022-03-31T00:00:00.000","March","Bottle Bill","317"
"2022-03-31T00:00:00.000","March","Misc. Recycling","10"
"2022-02-28T00:00:00.000","February","Misc. Recycling","10"
"2022-02-28T00:00:00.000","February","Misc. Garbage","318"
"2022-02-28T00:00:00.000","February","Curb Garbage","6001"
"2022-02-28T00:00:00.000","February","E-Waste","0"
"2022-02-28T00:00:00.000","February","Haz Waste","0"
"2022-02-28T00:00:00.000","February","Yard Waste","53"
"2022-02-28T00:00:00.000","February","Recycled Tires","8"
"2022-02-28T00:00:00.000","February","Scrap Metal","332"
"2022-02-28T00:00:00.000","February","Bottle Bill","317"
"2022-02-28T00:00:00.000","February","Curb Recycling","1188"
"2022-01-31T00:00:00.000","January","Misc. Recycling","10"
"2022-01-31T00:00:00.000","January","Misc. Garbage","194"
"2022-01-31T00:00:00.000","January","Curb Garbage","5720"
"2022-01-31T00:00:00.000","January","E-Waste","8"
"2022-01-31T00:00:00.000","January","Haz Waste","0"
"2022-01-31T00:00:00.000","January","Yard Waste","73"
"2022-01-31T00:00:00.000","January","Recycled Tires","1"
"2022-01-31T00:00:00.000","January","Scrap Metal","332"
"2022-01-31T00:00:00.000","January","Bottle Bill","317"
"2022-01-31T00:00:00.000","January","Curb Recycling","1126"
"2021-12-31T00:00:00.000","December","Misc. Recycling","5100"
"2021-12-31T00:00:00.000","December","Misc. Garbage","857"
"2021-12-31T00:00:00.000","December","Curb Garbage","7865"
"2021-12-31T00:00:00.000","December","E-Waste","14"
"2021-12-31T00:00:00.000","December","Haz Waste","0"
"2021-12-31T00:00:00.000","December","Yard Waste","4000"
"2021-12-31T00:00:00.000","December","Recycled Tires","13"
"2021-12-31T00:00:00.000","December","Scrap Metal","332"
"2021-12-31T00:00:00.000","December","Bottle Bill","317"
"2021-12-31T00:00:00.000","December","Curb Recycling","1602"
"2021-11-30T00:00:00.000","November","Yard Waste","1258"
"2021-11-30T00:00:00.000","November","Misc. Garbage","702"
"2021-11-30T00:00:00.000","November","Curb Garbage","8254"
"2021-11-30T00:00:00.000","November","E-Waste","13"
"2021-11-30T00:00:00.000","November","Haz Waste","0"
"2021-11-30T00:00:00.000","November","Recycled Tires","15"
"2021-11-30T00:00:00.000","November","Scrap Metal","332"
"2021-11-30T00:00:00.000","November","Bottle Bill","317"
"2021-11-30T00:00:00.000","November","Misc. Recycling","10"
"2021-11-30T00:00:00.000","November","Curb Recycling","1403"
"2021-10-31T00:00:00.000","October","Curb Recycling","1394"
"2021-10-31T00:00:00.000","October","Misc. Garbage","1247"
"2021-10-31T00:00:00.000","October","Curb Garbage","7753"
"2021-10-31T00:00:00.000","October","E-Waste","18"
"2021-10-31T00:00:00.000","October","Haz Waste","0"
"2021-10-31T00:00:00.000","October","Yard Waste","171"
"2021-10-31T00:00:00.000","October","Recycled Tires","25"
"2021-10-31T00:00:00.000","October","Scrap Metal","332"
"2021-10-31T00:00:00.000","October","Bottle Bill","317"
"2021-10-31T00:00:00.000","October","Misc. Recycling","10"
"2021-09-30T00:00:00.000","September","Misc. Recycling","10"
"2021-09-30T00:00:00.000","September","Misc. Garbage","1828"
"2021-09-30T00:00:00.000","September","Curb Garbage","8751"
"2021-09-30T00:00:00.000","September","E-Waste","13"
"2021-09-30T00:00:00.000","September","Haz Waste","0"
"2021-09-30T00:00:00.000","September","Yard Waste","131"
"2021-09-30T00:00:00.000","September","Recycled Tires","35"
"2021-09-30T00:00:00.000","September","Scrap Metal","332"
"2021-09-30T00:00:00.000","September","Bottle Bill","317"
"2021-09-30T00:00:00.000","September","Curb Recycling","1537"
"2021-08-31T00:00:00.000","August","Misc. Recycling","10"
"2021-08-31T00:00:00.000","August","Misc. Garbage","1994"
"2021-08-31T00:00:00.000","August","Curb Garbage","8844"
"2021-08-31T00:00:00.000","August","E-Waste","18"
"2021-08-31T00:00:00.000","August","Haz Waste","0"
"2021-08-31T00:00:00.000","August","Yard Waste","157"
"2021-08-31T00:00:00.000","August","Recycled Tires","22"
"2021-08-31T00:00:00.000","August","Scrap Metal","332"
"2021-08-31T00:00:00.000","August","Bottle Bill","317"
"2021-08-31T00:00:00.000","August","Curb Recycling","1464"
"2021-07-31T00:00:00.000","July","Bottle Bill","317"
"2021-07-31T00:00:00.000","July","Misc. Garbage","1028"
"2021-07-31T00:00:00.000","July","Curb Garbage","9227"
"2021-07-31T00:00:00.000","July","E-Waste","15"
"2021-07-31T00:00:00.000","July","Haz Waste","0"
"2021-07-31T00:00:00.000","July","Curb Recycling","1565"
"2021-07-31T00:00:00.000","July","Yard Waste","212"
"2021-07-31T00:00:00.000","July","Recycled Tires","30"
"2021-07-31T00:00:00.000","July","Scrap Metal","332"
"2021-07-31T00:00:00.000","July","Misc. Recycling","10"
"2021-06-30T00:00:00.000","June","Curb Recycling","1587"
"2021-06-30T00:00:00.000","June","Misc. Garbage","2024"
"2021-06-30T00:00:00.000","June","Curb Garbage","9293"
"2021-06-30T00:00:00.000","June","E-Waste","19"
"2021-06-30T00:00:00.000","June","Haz Waste","0"
"2021-06-30T00:00:00.000","June","Yard Waste","132"
"2021-06-30T00:00:00.000","June","Recycled Tires","13"
"2021-06-30T00:00:00.000","June","Scrap Metal","332"
"2021-06-30T00:00:00.000","June","Bottle Bill","317"
"2021-06-30T00:00:00.000","June","Misc. Recycling","10"
"2021-05-31T00:00:00.000","May","Curb Recycling","1543"
"2021-05-31T00:00:00.000","May","Curb Garbage","9154"
"2021-05-31T00:00:00.000","May","E-Waste","22"
"2021-05-31T00:00:00.000","May","Haz Waste","0"
"2021-05-31T00:00:00.000","May","Yard Waste","181"
"2021-05-31T00:00:00.000","May","Misc. Garbage","3051"
"2021-05-31T00:00:00.000","May","Recycled Tires","25"
"2021-05-31T00:00:00.000","May","Scrap Metal","332"
"2021-05-31T00:00:00.000","May","Bottle Bill","317"
"2021-05-31T00:00:00.000","May","Misc. Recycling","10"
"2021-04-30T00:00:00.000","April","Misc. Recycling","10"
"2021-04-30T00:00:00.000","April","Misc. Garbage","2094"
"2021-04-30T00:00:00.000","April","Curb Garbage","8716"
"2021-04-30T00:00:00.000","April","E-Waste","23"
"2021-04-30T00:00:00.000","April","Haz Waste","0"
"2021-04-30T00:00:00.000","April","Yard Waste","178"
"2021-04-30T00:00:00.000","April","Recycled Tires","38"
"2021-04-30T00:00:00.000","April","Scrap Metal","332"
"2021-04-30T00:00:00.000","April","Bottle Bill","317"
"2021-04-30T00:00:00.000","April","Curb Recycling","1626"
"2021-03-31T00:00:00.000","March","Misc. Recycling","10"
"2021-03-31T00:00:00.000","March","Misc. Garbage","994"
"2021-03-31T00:00:00.000","March","Curb Garbage","8265"
"2021-03-31T00:00:00.000","March","E-Waste","16"
"2021-03-31T00:00:00.000","March","Haz Waste","0"
"2021-03-31T00:00:00.000","March","Yard Waste","146"
"2021-03-31T00:00:00.000","March","Recycled Tires","24"
"2021-03-31T00:00:00.000","March","Scrap Metal","332"
"2021-03-31T00:00:00.000","March","Bottle Bill","317"
"2021-03-31T00:00:00.000","March","Curb Recycling","1661"
"2021-02-28T00:00:00.000","February","Misc. Recycling","10"
"2021-02-28T00:00:00.000","February","Misc. Garbage","253"
"2021-02-28T00:00:00.000","February","Curb Garbage","4927"
"2021-02-28T00:00:00.000","February","E-Waste","16"
"2021-02-28T00:00:00.000","February","Haz Waste","0"
"2021-02-28T00:00:00.000","February","Yard Waste","66"
"2021-02-28T00:00:00.000","February","Recycled Tires","12"
"2021-02-28T00:00:00.000","February","Scrap Metal","332"
"2021-02-28T00:00:00.000","February","Bottle Bill","317"
"2021-02-28T00:00:00.000","February","Curb Recycling","1250"
"2021-01-31T00:00:00.000","January","Yard Waste","209"
"2021-01-31T00:00:00.000","January","Misc. Garbage","524"
"2021-01-31T00:00:00.000","January","Curb Garbage","6877"
"2021-01-31T00:00:00.000","January","E-Waste","19"
"2021-01-31T00:00:00.000","January","Haz Waste","0"
"2021-01-31T00:00:00.000","January","Recycled Tires","17"
"2021-01-31T00:00:00.000","January","Scrap Metal","332"
"2021-01-31T00:00:00.000","January","Bottle Bill","317"
"2021-01-31T00:00:00.000","January","Misc. Recycling","10"
"2021-01-31T00:00:00.000","January","Curb Recycling","1597"
"2020-12-31T00:00:00.000","December","Misc. Garbage","620"
"2020-12-31T00:00:00.000","December","Curb Garbage","7944"
"2020-12-31T00:00:00.000","December","Haz Waste","0"
"2020-12-31T00:00:00.000","December","Yard Waste","519"
"2020-12-31T00:00:00.000","December","Recycled Tires","22"
"2020-12-31T00:00:00.000","December","E-Waste","30"
"2020-12-31T00:00:00.000","December","Scrap Metal","732"
"2020-12-31T00:00:00.000","December","Bottle Bill","317"
"2020-12-31T00:00:00.000","December","Misc. Recycling","5100"
"2020-12-31T00:00:00.000","December","Curb Recycling","1708"
"2020-11-30T00:00:00.000","November","Misc. Garbage","566"
"2020-11-30T00:00:00.000","November","Curb Garbage","8444"
"2020-11-30T00:00:00.000","November","E-Waste","30"
"2020-11-30T00:00:00.000","November","Haz Waste","0"
"2020-11-30T00:00:00.000","November","Yard Waste","519"
"2020-11-30T00:00:00.000","November","Recycled Tires","22"
"2020-11-30T00:00:00.000","November","Scrap Metal","332"
"2020-11-30T00:00:00.000","November","Bottle Bill","317"
"2020-11-30T00:00:00.000","November","Misc. Recycling","10"
"2020-11-30T00:00:00.000","November","Curb Recycling","1488"
"2020-10-31T00:00:00.000","October","Misc. Garbage","1052"
"2020-10-31T00:00:00.000","October","Curb Garbage","8384"
"2020-10-31T00:00:00.000","October","E-Waste","30"
"2020-10-31T00:00:00.000","October","Haz Waste","0"
"2020-10-31T00:00:00.000","October","Yard Waste","519"
"2020-10-31T00:00:00.000","October","Recycled Tires","22"
"2020-10-31T00:00:00.000","October","Scrap Metal","332"
"2020-10-31T00:00:00.000","October","Bottle Bill","317"
"2020-10-31T00:00:00.000","October","Misc. Recycling","10"
"2020-10-31T00:00:00.000","October","Curb Recycling","1593"
"2020-09-30T00:00:00.000","September","Misc. Recycling","10"
"2020-09-30T00:00:00.000","September","Misc. Garbage","2304"
"2020-09-30T00:00:00.000","September","Curb Garbage","8666"
"2020-09-30T00:00:00.000","September","E-Waste","30"
"2020-09-30T00:00:00.000","September","Haz Waste","0"
"2020-09-30T00:00:00.000","September","Yard Waste","519"
"2020-09-30T00:00:00.000","September","Recycled Tires","22"
"2020-09-30T00:00:00.000","September","Scrap Metal","332"
"2020-09-30T00:00:00.000","September","Bottle Bill","317"
"2020-09-30T00:00:00.000","September","Curb Recycling","1557"
"2020-08-31T00:00:00.000","August","Recycled Tires","22"
"2020-08-31T00:00:00.000","August","Misc. Garbage","3409"
"2020-08-31T00:00:00.000","August","Curb Garbage","8527"
"2020-08-31T00:00:00.000","August","E-Waste","30"
"2020-08-31T00:00:00.000","August","Haz Waste","0"
"2020-08-31T00:00:00.000","August","Yard Waste","519"
"2020-08-31T00:00:00.000","August","Scrap Metal","332"
"2020-08-31T00:00:00.000","August","Bottle Bill","317"
"2020-08-31T00:00:00.000","August","Misc. Recycling","10"
"2020-08-31T00:00:00.000","August","Curb Recycling","1544"
"2020-07-31T00:00:00.000","July","Misc. Garbage","2823"
"2020-07-31T00:00:00.000","July","Curb Garbage","9825"
"2020-07-31T00:00:00.000","July","E-Waste","30"
"2020-07-31T00:00:00.000","July","Haz Waste","0"
"2020-07-31T00:00:00.000","July","Yard Waste","519"
"2020-07-31T00:00:00.000","July","Recycled Tires","22"
"2020-07-31T00:00:00.000","July","Scrap Metal","332"
"2020-07-31T00:00:00.000","July","Bottle Bill","317"
"2020-07-31T00:00:00.000","July","Misc. Recycling","10"
"2020-07-31T00:00:00.000","July","Curb Recycling","1743"
"2020-06-30T00:00:00.000","June","Misc. Garbage","1107"
"2020-06-30T00:00:00.000","June","Curb Garbage","10183"
"2020-06-30T00:00:00.000","June","E-Waste","30"
"2020-06-30T00:00:00.000","June","Haz Waste","0"
"2020-06-30T00:00:00.000","June","Yard Waste","519"
"2020-06-30T00:00:00.000","June","Recycled Tires","22"
"2020-06-30T00:00:00.000","June","Scrap Metal","332"
"2020-06-30T00:00:00.000","June","Bottle Bill","317"
"2020-06-30T00:00:00.000","June","Misc. Recycling","10"
"2020-06-30T00:00:00.000","June","Curb Recycling","1751"
"2020-05-30T00:00:00.000","May","Misc. Garbage","1455"
"2020-05-30T00:00:00.000","May","Curb Garbage","9037"
"2020-05-30T00:00:00.000","May","E-Waste","30"
"2020-05-30T00:00:00.000","May","Haz Waste","0"
"2020-05-30T00:00:00.000","May","Yard Waste","519"
"2020-05-30T00:00:00.000","May","Recycled Tires","22"
"2020-05-30T00:00:00.000","May","Scrap Metal","332"
"2020-05-30T00:00:00.000","May","Bottle Bill","317"
"2020-05-30T00:00:00.000","May","Misc. Recycling","10"
"2020-05-30T00:00:00.000","May","Curb Recycling","1580"
"2020-04-30T00:00:00.000","April","Misc. Garbage","643"
"2020-04-30T00:00:00.000","April","Curb Garbage","7686"
"2020-04-30T00:00:00.000","April","E-Waste","30"
"2020-04-30T00:00:00.000","April","Haz Waste","0"
"2020-04-30T00:00:00.000","April","Yard Waste","519"
"2020-04-30T00:00:00.000","April","Recycled Tires","22"
"2020-04-30T00:00:00.000","April","Scrap Metal","332"
"2020-04-30T00:00:00.000","April","Bottle Bill","317"
"2020-04-30T00:00:00.000","April","Misc. Recycling","10"
"2020-04-30T00:00:00.000","April","Curb Recycling","1447"
"2020-03-31T00:00:00.000","March","Misc. Garbage","716"
"2020-03-31T00:00:00.000","March","Curb Garbage","7028"
"2020-03-31T00:00:00.000","March","E-Waste","30"
